iter	Passed	Remaining
163	478	2438
164	479	2427
165	481	2419
166	482	2408
167	484	2400
168	486	2390
169	487	2380
170	489	2372
171	490	2361
172	492	2352
173	493	2342
174	495	2334
175	496	2325
176	497	2315
177	499	2306
178	500	2297
179	502	2288
180	503	2279
181	505	2270
182	506	2262
183	508	2253
184	510	2247
185	512	2241
186	513	2233
187	515	2225
188	516	2217
189	518	2208
190	521	2207
191	527	2220
192	529	2213
193	533	2217
194	535	2209
195	537	2204
196	541	2205
197	545	2210
198	549	2211
199	552	2208
200	555	2209
201	557	2204
202	560	2200
203	564	2201
204	569	2208
205	575	2217
206	579	2221
207	582	2217
208	584	2212
209	587	2208
210	591	2212
211	599	2226
212	602	2225
213	606	2226
214	608	2220
215	609	2213
216	616	2223
217	619	2222
218	623	2221
219	625	2217
220	626	2209
221	628	2202
222	630	2197
223	632	2192
224	634	2185
225	635	2177
226	637	2171
227	640	2169
228	643	2167
229	645	2162
230	647	2157
231	649	2150
232	651	2145
233	653	2139
234	655	2133
235	657	2128
236	660	2124
237	661	2118
238	663	2112
239	665	2106
240	667	2102
241	670	2100
242	672	2094
243	675	2092
244	677	2087
245	679	2083
246	681	2077
247	683	2073
248	685	2066
249	686	2060
250	688	2055
251	690	2048
252	692	2043
253	693	2037
254	694	2029
255	696	2023
256	697	2017
257	699	2012
258	701	2006
259	702	2000
260	704	1994
261	707	1993
262	713	2000
263	718	2002
264	723	2005
265	725	2002
266	731	2007
267	734	2006
268	737	2002
269	739	1999
270	745	2006
271	748	2002
272	752	2003
273	755	2001
274	757	1997
275	759	1991
276	761	1986
277	763	1982
278	768	1985
279	773	1990
280	776	1986
281	779	1985
282	784	1987
283	787	1984
284	792	1988
285	794	1984
286	799	1987
287	801	1981
288	803	1976
289	805	1971
290	808	1969
291	811	1967
292	814	1965
293	816	1961
294	818	1956
295	820	1951
296	822	1947
297	824	1941
298	827	1940
299	829	1934
300	830	1929
301	833	1925
302	835	1920
303	836	1915
304	838	1910
305	840	1906
306	842	1901
307	843	1896
308	845	1891
309	847	1886
310	849	1881
311	850	1876
312	852	1871
313	854	1867
314	856	1862
315	858	1857
316	859	1852
317	861	1847
318	862	1842
319	864	1836
320	865	1831
321	866	1825
322	868	1820
323	869	1815
324	871	1809
325	872	1804
326	874	1799
327	875	1793
328	876	1788
329	878	1783
330	879	1777
331	880	1772
332	882	1767
333	883	1762
334	885	1756
335	886	1751
336	887	1746
337	889	1741
338	890	1736
339	892	1733
340	895	1731
341	897	1727
342	900	1724
343	902	1721
344	906	1720
345	907	1715
346	910	1713
347	913	1710
348	916	1709
349	920	1709
350	922	1705
351	925	1703
352	930	1704
353	935	1706
354	937	1703
355	940	1701
356	944	1701
357	946	1697
358	948	1693
359	951	1690
360	953	1687
361	960	1692
362	964	1692
363	968	1691
364	970	1688
365	972	1685
366	974	1680
367	976	1677
368	980	1675
369	983	1675
370	986	1673
371	991	1673
372	993	1669
373	995	1666
374	997	1662
375	998	1657
376	1001	1655
377	1004	1652
378	1006	1648
379	1008	1644
380	1010	1641
381	1012	1637
382	1013	1633
383	1015	1628
384	1016	1624
385	1018	1620
386	1020	1616
387	1022	1612
388	1023	1608
389	1025	1604
390	1027	1599
391	1028	1595
392	1030	1591
393	1032	1587
394	1034	1584
395	1036	1581
396	1039	1578
397	1041	1575
398	1042	1570
399	1044	1567
400	1046	1563
401	1048	1560
402	1050	1555
403	1051	1551
404	1053	1547
405	1054	1543
406	1056	1539
407	1057	1534
408	1059	1531
409	1061	1527
410	1062	1523
411	1064	1519
412	1065	1514
413	1067	1510
414	1069	1507
415	1070	1502
416	1071	1498
417	1073	1494
418	1074	1490
419	1076	1486
420	1077	1482
421	1079	1478
422	1084	1479
423	1088	1478
424	1090	1474
425	1093	1472
426	1097	1472
427	1099	1469
428	1103	1469
429	1106	1466
430	1109	1465
431	1114	1464
432	1117	1463
433	1122	1464
434	1125	1461
435	1126	1457
436	1128	1454
437	1131	1451
438	1132	1447
439	1134	1444
440	1137	1442
441	1141	1441
442	1145	1440
443	1150	1440
444	1156	1442
445	1159	1440
446	1172	1450
447	1182	1456
448	1186	1455
449	1189	1453
450	1194	1454
451	1200	1455
452	1202	1452
453	1205	1449
454	1207	1445
455	1208	1442
456	1210	1438
457	1212	1434
458	1214	1431
459	1215	1427
460	1217	1423
461	1219	1419
462	1220	1416
463	1222	1411
464	1223	1408
465	1225	1403
466	1226	1400
467	1228	1396
468	1229	1392
469	1231	1388
470	1232	1384
471	1234	1380
472	1235	1376
473	1237	1372
474	1239	1369
475	1240	1365
476	1241	1361
477	1243	1357
478	1244	1354
479	1246	1350
480	1248	1346
481	1249	1343
482	1251	1339
483	1252	1335
484	1254	1331
485	1255	1327
486	1257	1324
487	1258	1320
488	1260	1317
489	1261	1313
490	1263	1309
491	1264	1305
492	1266	1302
493	1268	1298
494	1269	1295
495	1271	1292
496	1274	1290
497	1278	1288
498	1282	1287
499	1285	1285
500	1287	1281
501	1288	1277
502	1291	1276
503	1295	1274
504	1297	1271
505	1300	1269
506	1302	1266
507	1306	1265
508	1308	1262
509	1309	1258
510	1312	1256
511	1316	1254
512	1318	1251
513	1323	1251
514	1325	1248
515	1329	1246
516	1331	1244
517	1334	1241
518	1336	1238
519	1338	1235
520	1340	1232
521	1342	1229
522	1344	1226
523	1346	1223
524	1350	1222
525	1353	1219
526	1355	1216
527	1360	1216
528	1378	1227
529	1381	1225
530	1383	1221
531	1385	1218
532	1387	1215
533	1388	1211
534	1391	1209
535	1393	1206
536	1395	1203
537	1397	1200
538	1399	1196
539	1401	1193
540	1403	1190
541	1404	1187
542	1406	1183
543	1408	1180
544	1410	1177
545	1412	1174
546	1414	1171
547	1416	1168
548	1419	1165
549	1420	1162
550	1422	1159
551	1425	1156
552	1426	1153
553	1428	1150
554	1430	1147
555	1432	1143
556	1434	1140
557	1436	1137
558	1438	1134
559	1439	1131
560	1442	1128
561	1443	1125
562	1445	1121
563	1447	1118
564	1448	1115
565	1450	1112
566	1452	1108
567	1454	1105
568	1455	1102
569	1457	1099
570	1458	1096
571	1460	1092
572	1464	1091
573	1465	1087
574	1467	1084
575	1469	1081
576	1472	1079
577	1478	1079
578	1484	1079
579	1492	1080
580	1494	1077
581	1496	1074
582	1497	1071
583	1502	1070
584	1506	1068
585	1510	1067
586	1514	1065
587	1516	1062
588	1518	1059
589	1520	1056
590	1523	1054
591	1525	1051
592	1529	1049
593	1531	1047
594	1534	1044
595	1545	1047
596	1547	1044
597	1550	1042
598	1553	1039
599	1556	1037
600	1558	1034
601	1562	1032
602	1564	1029
603	1565	1026
604	1567	1023
605	1569	1020
606	1572	1018
607	1575	1015
608	1578	1013
609	1579	1009
610	1581	1007
611	1583	1004
612	1584	1000
613	1586	997
614	1587	994
615	1589	991
616	1592	988
617	1594	985
618	1596	982
619	1597	979
620	1599	976
621	1601	973
622	1602	969
623	1604	966
624	1605	963
625	1607	960
626	1608	957
627	1610	953
628	1611	950
629	1613	947
630	1614	944
631	1616	941
632	1618	938
633	1619	935
634	1621	932
635	1622	928
636	1624	925
637	1626	922
638	1627	919
639	1629	916
640	1630	913
641	1631	909
642	1633	906
643	1634	903
644	1636	900
645	1637	897
646	1639	894
647	1640	891
648	1642	888
649	1643	885
650	1644	881
651	1646	878
652	1647	875
653	1649	872
654	1650	869
655	1651	866
656	1653	863
657	1654	859
658	1655	856
659	1657	853
660	1660	851
661	1665	850
662	1669	848
663	1672	846
664	1675	844
665	1679	842
666	1681	839
667	1687	838
668	1692	837
669	1694	834
670	1698	833
671	1703	831
672	1709	830
673	1716	830
674	1727	831
675	1734	831
676	1737	828
677	1738	825
678	1750	827
679	1754	825
680	1762	825
681	1765	823
682	1770	821
683	1773	819
684	1775	816
685	1777	813
686	1782	812
687	1785	809
688	1787	806
689	1790	804
690	1794	802
691	1795	799
692	1797	796
693	1798	793
694	1800	790
695	1802	787
696	1805	784
697	1809	782
698	1814	781
699	1816	778
700	1818	775
701	1820	772
702	1822	769
703	1824	766
704	1826	764
705	1827	761
706	1829	758
707	1831	755
708	1832	752
709	1834	749
710	1837	746
711	1838	743
712	1840	740
713	1841	737
714	1843	734
715	1844	731
716	1846	728
717	1848	725
718	1850	723
719	1852	720
720	1855	717
721	1858	715
722	1860	712
723	1864	710
724	1866	708
725	1869	705
726	1871	702
727	1875	700
728	1878	698
729	1882	696
730	1884	693
731	1886	690
732	1887	687
733	1889	684
734	1892	682
735	1894	679
736	1897	677
737	1899	674
738	1902	672
739	1904	669
740	1906	666
741	1907	663
742	1909	660
743	1910	657
744	1913	655
745	1915	652
746	1918	649
747	1921	647
748	1925	645
749	1928	642
750	1930	640
751	1932	637
752	1936	635
753	1942	633
754	1947	631
755	1948	628
756	1951	626
757	1952	623
758	1953	620
759	1955	617
760	1957	614
761	1959	611
762	1961	609
763	1962	606
764	1963	603
765	1965	600
766	1966	597
767	1968	594
768	1970	591
769	1971	588
770	1973	586
771	1974	583
772	1976	580
773	1977	577
774	1978	574
775	1980	571
776	1981	568
777	1982	565
778	1984	562
779	1985	559
780	1987	557
781	1988	554
782	1989	551
783	1991	548
784	1993	545
785	1994	543
786	1996	540
787	1997	537
788	1999	534
789	2000	531
790	2002	529
791	2004	526
792	2005	523
793	2006	520
794	2008	517
795	2009	515
796	2011	512
797	2012	509
798	2014	506
799	2015	503
800	2016	501
801	2018	498
802	2019	495
803	2021	492
804	2022	489
805	2024	487
806	2025	484
807	2027	481
808	2028	478
809	2030	476
810	2031	473
811	2033	470
812	2035	468
813	2036	465
814	2038	462
815	2040	460
816	2041	457
817	2042	454
818	2043	451
819	2047	449
820	2052	447
821	2054	444
822	2057	442
823	2060	440
824	2063	437
825	2065	435
826	2067	432
827	2069	429
828	2070	427
829	2073	424
830	2078	422
831	2082	420
832	2085	418
833	2088	415
834	2090	413
835	2093	410
836	2096	408
837	2100	406
838	2103	403
839	2106	401
840	2109	398
841	2111	396
842	2113	393
843	2115	390
844	2116	388
845	2118	385
846	2120	382
847	2123	380
848	2126	378
849	2129	375
850	2131	373
851	2134	370
852	2136	368
853	2139	365
854	2142	363
855	2145	360
856	2147	358
857	2148	355
858	2150	353
859	2153	350
860	2154	347
861	2156	345
862	2158	342
863	2160	340
864	2162	337
865	2164	334
866	2166	332
867	2168	329
868	2169	327
869	2171	324
870	2173	321
871	2175	319
872	2176	316
873	2178	314
874	2179	311
875	2181	308
876	2182	306
877	2184	303
878	2186	300
879	2187	298
880	2189	295
881	2191	293
882	2192	290
883	2194	287
884	2196	285
885	2198	282
886	2200	280
887	2201	277
888	2203	275
889	2204	272
890	2205	269
891	2207	267
892	2208	264
893	2210	262
894	2212	259
895	2213	256
896	2214	254
897	2216	251
898	2218	249
899	2219	246
900	2221	244
901	2223	241
902	2224	239
903	2226	236
904	2228	233
905	2230	231
906	2234	229
907	2238	226
908	2241	224
909	2245	222
910	2246	219
911	2248	216
912	2249	214
913	2255	212
914	2260	209
915	2262	207
916	2266	205
917	2269	202
918	2271	200
919	2274	197
920	2281	195
921	2287	193
922	2290	191
923	2292	188
924	2294	186
925	2295	183
926	2297	180
927	2299	178
928	2300	175
929	2302	173
930	2303	170
931	2305	168
932	2307	165
933	2310	163
934	2312	160
935	2315	158
936	2317	155
937	2320	153
938	2322	150
939	2323	148
940	2324	145
941	2326	143
942	2328	140
943	2332	138
944	2335	135
945	2336	133
946	2338	130
947	2340	128
948	2341	125
949	2343	123
950	2344	120
951	2346	118
952	2348	115
953	2349	113
954	2351	110
955	2352	108
956	2353	105
957	2355	103
958	2356	100
959	2358	98
960	2359	95
961	2361	93
962	2362	90
963	2364	88
964	2365	85
965	2366	83
966	2368	80
967	2370	78
968	2372	75
969	2374	73
970	2375	70
971	2377	68
972	2378	66
973	2380	63
974	2381	61
975	2383	58
976	2384	56
977	2387	53
978	2388	51
979	2390	48
980	2392	46
981	2394	43
982	2397	41
983	2398	39
984	2400	36
985	2402	34
986	2403	31
987	2405	29
988	2406	26
989	2407	24
990	2409	21
991	2410	19
992	2411	17
993	2413	14
994	2414	12
995	2416	9
996	2417	7
997	2419	4
998	2422	2
999	2427	0
